2025/06/27 18:30:24 [error] 522#522: *60 open() "/var/www/html/assets/images/wechat-qr.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/wechat-qr.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
2025/06/27 18:30:24 [error] 522#522: *60 open() "/var/www/html/assets/images/slide1.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide1.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
2025/06/27 18:30:24 [error] 523#523: *81 open() "/var/www/html/assets/images/slide2.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide2.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
2025/06/27 18:30:24 [error] 522#522: *79 open() "/var/www/html/assets/images/slide3.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide3.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
2025/06/27 18:30:26 [error] 522#522: *79 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/stats.php"
2025/06/27 18:30:28 [error] 522#522: *79 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/index.php"
2025/06/27 18:30:33 [error] 522#522: *79 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/index.php"
2025/06/27 18:30:54 [error] 522#522: *79 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/index.php"
2025/06/27 18:31:38 [error] 522#522: *79 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/index.php"
2025/06/27 18:31:39 [error] 522#522: *79 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
2025/06/27 18:31:39 [error] 522#522: *101 open() "/var/www/html/assets/images/wechat-qr.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/wechat-qr.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
2025/06/27 18:31:39 [error] 522#522: *101 open() "/var/www/html/assets/images/slide1.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide1.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
2025/06/27 18:31:39 [error] 522#522: *79 open() "/var/www/html/assets/images/slide2.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide2.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
